processed_tweets,brand,emotions
"['ûï', 'link', 'help', 'forward', 'doc', 'anonymous', 'account', 'techie', 'ppl', 'help', 'u', 'jam']",Apple,Neutral
"['¼', 'link']",Apple,Neutral
"['fast', 'fun', 'future', 'link', 'via']",Google,Neutral
"['ûï', 'connect', 'digital', 'physical', 'world', 'mobile', 'link', 'û']",Google,Neutral
"['ûï', 'talking', 'link', 'effort', 'allow', 'user', 'open', 'system', 'û']",Google,Positive
"['link', 'rt', 'google', 'tweet', 'new', 'think', 'speak', 'mark', 'belinsky', 'panel']",Google,Neutral
"['link', 'rt', '1st', 'stop', 'hunt', 'austin', 'java', 'get', 'spy', 'game', '4', 'chance', '2', 'win', 'ipad']",Apple,Positive
"['link', 'rt', 'check', 'holler', 'gram', 'ipad', 'app', 'link']",Apple,Neutral
"['fun', 'pic', 'link']",Google,Neutral
"['via', 'link', 'guy', 'kawasaki', 'talk', 'enchanted', 'sxsw', 'know', 'stuff']",Apple,Neutral
"['link', 'spec', 'recipe', 'web', 'google', 'search', 'link']",Google,Neutral
"['rt', 'heard', 'store', 'downtown', 'austin', 'pic', 'already', 'gowalla', 'link']",Apple,Positive
"['rt', 'think', 'store', 'austin', 'would', 'lot', 'interesting', 'actually', 'know', 'popped']",Apple,Neutral
"['rt', 'line', 'apple', 'store', 'insane']",Apple,Negative
"['agree', 'rt', 'wait', 'fiona', 'apple', 'town', 'somebody', 'kidnap', 'put', 'recording', 'studio', 'record', 'new', 'album']",Apple,Neutral
"['wanna', 'buy', 'drink', '7pm', 'fado', '4th', 'link', 'join', 'u']",Apple,Neutral
"['attending', 'ipad', 'design', 'headache', 'link']",Apple,Negative
"['booo', 'rt', 'flipboard', 'developing', 'iphone', 'version', 'android', 'say']",Apple,Negative
"['check', 'line', 'ipad', '2', 'austin', 'power', 'link']",Apple,Positive
"['check', 'rt', 'giving', 'added', 'value', 'location', 'based', 'service', 'need', 'battle', 'fatigue']",Google,Neutral
"['chilcott', 'stand', 'talking', 'blogger', 'staff', 'late', 'win', 'competition', 'best', 'tweet', 'mentioning']",Apple,Neutral
"['rt', 'come', 'party', 'w', 'google', 'tonight', 'link', 'band', 'food', 'art', 'ice', 'cream', 'nifty', 'interactive', 'map']",Google,Positive
"['promise', 'launch', 'foursquare', 'groupon', 'service', 'crossed', 'link']",Apple,Neutral
"['rt', 'news', 'loosing', 'search', 'traffic', 'new', 'site', 'doubt', 'last', 'tho', 'w', 'weird', 'name']",Google,Neutral
"['holla', 'rt', 'google', 'party', 'best', 'ever', 'get', 'butt']",Google,Positive
"['love', 'iphone', 'case', 'get', 'phone']",Apple,Positive
"['worship', 'link']",Apple,Neutral
"['ipad', '2', 'rt', 'droid', 'mac', 'rt', 'confession', 'using', 'laptop', 'ipad', 'blackberry', 'follow']",Apple,Neutral
"['launching', 'rt', 'denies', 'social', 'network', 'called', 'circle', 'debut', 'today', 'despite', 'report', 'link']",Google,Neutral
"['new', 'post', 'iphone', 'app', 'make', 'easy', 'connect', 'social', 'network', 'people', 'meet', 'link']",Apple,Positive
"['nice', 'iphone', 'app', 'behaving', 'today', 'crash', 'yesterday', 'ridiculous']",Apple,Positive
"['nice', 'rt', 'apple', 'opening', 'popup', 'store', 'ipad', 'launch', 'downtown', 'austin', 'link', 'via']",Apple,Neutral
"['nice', 'rt', 'hey', 'apple', 'fan', 'get', 'peek', 'space', 'slated', 'apple', 'store', 'tomorrow', 'link']",Apple,Positive
"['one', 'thing', 'great', 'get', 'great', 'earth', 'face', 'google', 'company', 'love']",Google,Positive
"['stay', 'tune', 'showcase', 'link']",Apple,Neutral
"['thank', 'preso', 'deck', 'link']",Apple,Neutral
"['thank', 'awesome', 'party', 'link']",Apple,Neutral
"['thanks', 'rt', 'trying', 'contact', 'friend', 'family', 'created', 'person', 'finder', 'link']",Apple,Neutral
"['thanks', 'mention', 'new', 'ipad', 'apps', 'showcased', 'conf', 'link']",Apple,Positive
"['thanks', 'publishing', 'news', 'new', 'medical', 'apps', 'conf', 'blog', 'link']",Apple,Neutral
"['thanks', 'publishing', 'news', 'new', 'medical', 'apps', 'conf', 'blog', 'link']",Apple,Neutral
"['provide', 'iphone', 'charger', 'changed', 'mind', 'going', 'next', 'year']",Apple,Negative
"['wonder', 'apple', 'flashmob']",Apple,Neutral
"['wonder', 'putting', 'tip', 'api']",Apple,Neutral
"['xmas', 'rt', 'shiny', 'new', 'apps', 'new', 'book', 'ipad', '2', 'store', 'christmas', 'nerd']",Apple,Positive
"['yai', 'rt', 'new', 'app', 'store', 'includes', 'uberguide', 'sponsored', 'cont', 'link']",Apple,Positive
"['yes', 'rt', 'hey', 'got', 'another', 'gem', 'free', 'sxsw', 'link']",Apple,Neutral
"['fast', 'fun', 'future', 'google', 'presenting', 'search', 'local', 'mobile']",Google,Positive
"['gsd', 'industry', 'party', 'tonight', 'see', 'u', 'link']",Google,Neutral
"['new', 'buzz', 'google', 'launch', 'major', 'new', 'social', 'network', 'called', 'circle', 'possibly', 'today', 'link', 'rt']",Google,Neutral
"['headline', '2', 'gadget', 'hmm', 'could', 'seen', 'one', 'coming', 'link']",Apple,Positive
"['ûï', 'apple', 'opened', 'store', 'austin', 'nerd', 'town', 'get', 'new', 'ipads', 'link']",Apple,Neutral
"['know', 'dataviz', 'translates', 'satanic', 'iphone', 'sayin']",Apple,Negative
"['google', 'launched', 'checkins', 'month', 'ago', 'check', 'in', 'ok', 'check', 'out', 'future']",Google,Positive
"['google', 'launched', 'checkins', 'month', 'ago', 'check', 'in', 'ok', 'check', 'out', 'future', 'via']",Google,Neutral
"['ûï', 'google', 'tweet', 'new', 'think', 'speak', 'mark', 'belinsky', 'panel', 'û']",Google,Positive
"['attending', 'left', 'brain', 'search', 'google', 'right', 'brain', 'search', 'x', 'talking', 'future', 'search', 'engine']",Google,Neutral
"['open', 'mobile', 'park', 'content', 'incubator', 'link', 'construct', 'store', 'link']",Apple,Neutral
"['kawasaki', 'c', 'lewis', 'level', 'reasoning', 'continued', 'existence', 'evidence', 'existence', 'god']",Apple,Positive
"['kawasaki', 'pagemaker', 'saved', 'apple', 'oh', 'day']",Apple,Neutral
"['kawasaki', 'pagemaker', 'saved', 'apple', 'oh', 'day', 'via']",Apple,Positive
"['spark', 'award', 'read', 'link']",Google,Positive
"['unboxing', 'apple', 'store', 'sxsw', 'link']",Apple,Neutral
"['ipad', '2', 'great', 'thought', 'w', 'japan', 'apac', 'region', 'dealing', 'w', 'earthquake', 'tsunami', 'trauma']",Apple,Positive
"['school', 'expert', 'sxsw', 'cnet', 'blog', 'link']",Apple,Neutral
"['school', 'marketing', 'expert', 'link']",Apple,Positive
"['school', 'marketing', 'expert', 'link']",Apple,Neutral
"['temporary', 'store', 'def', 'tent', 'powerhouse', 'gym', 'link']",Apple,Positive
"['temporary', 'store', '6th', 'congress', 'along', 'happy', 'hipster']",Apple,Positive
"['ûï', 'win', 'link', 'opening', 'temporary', 'store', 'downtown', 'austin', 'support', 'launch', 'good']",Apple,Positive
"['trending', 'today', 'fun', 'nerdy', 'nerd']",Apple,Positive
"['headed', 'check', 'map', 'newbie', 'link', 'enjoy']",Apple,Neutral
"['funny', 'trending', 'matter', 'minute', 'point', 'least', 'according', 'twitter', 'iphone']",Apple,Neutral
"['christian', 'devs', 'want', 'talk', 'u', 'maybe', 'wk', 'together', 'cool', 'app']",Apple,Positive
"['remember', 'ultimately', 'aware', 'audience', 'app', 'targeted', 'towards', 'unexpected', 'experience', 'good']",Apple,Neutral
"['apple', 'taken', 'storm', 'link', 'excited', 'part']",Apple,Positive
"['haz', 'ifrom', 'gr8', 'link']",Apple,Positive
"['stack', 'waiting', 'bought', 'got', 'mine', 'hassle', 'apple', 'handled', 'perfectly', 'link']",Apple,Positive
"['future', 'elusive', 'power', 'link', 'via']",Google,Neutral
"['link', 'free', 'download', 'meet', 'nearby', 'pep']",Apple,Neutral
"['need', 'review', 'play', 'google', 'place', 'got', 'app', 'link']",Google,Positive
"['need', 'review', 'play', 'google', 'place', 'got', 'app', 'link']",Google,Neutral
"['follow', 'lead', 'link']",Apple,Neutral
"['follow', 'lead', 'link', 'via', 'rg']",Apple,Neutral
"['take', 'rt', 'major', 'south', 'korean', 'director', 'get', 'make', 'movie', 'entirely', 'iphone', 'link']",Apple,Positive
"['beautiful', 'apple', 'store', 'sxsw', 'pic', 'link']",Apple,Positive
"['q1', 'prep', 'amazing', 'pre', 'push', 'locally', 'focus', 'location', 'based', 'google', 'owns', '10', 'region', 'billboard']",Google,Neutral
"['account', 'need', 'follow', 'apps', 'download', 'iphone']",Apple,Neutral
"['headed', 'want', 'share', 'gather', 'contact', 'info', 'link', 'turn', 'iphone', 'business', 'card', 'broadcaster']",Apple,Neutral
"['headed', 'want', 'share', 'gather', 'contact', 'info', 'link', 'turn', 'iphone', 'link']",Apple,Neutral
"['btw', 'apple', 'store', 'sold', '3g', 'model', 'vzw']",Apple,Neutral
"['must', 'app', 'rt', 'lovely', 'review', 'forbes', 'sxsw', 'ipad', 'app', 'holler', 'gram', 'link']",Apple,Positive
"['temporary', 'apple', 'store', 'apple', 'sneaky', 'usual', 'link']",Apple,Positive
"['anyone', 'apple', 'store', 'austin', 'gotta', 'hopping', 'place', 'today']",Apple,Neutral
"['ûï', 'beta', 'testing', 'interactive', 'book', 'ipad', 'app', 'moonbot', 'studio', 'louisiana', 'cool', 'app', 'û']",Apple,Positive
"['apple', 'day', 'one', 'seeing', 'ton']",Apple,Positive
"['giving', 'away', 'two', 'new', 'ipad', '2', 'wifi', '32g', 'black', 'apple', 'cover', 'tweet', 'fo', 'info', 'tonight', 'house']",Apple,Neutral
"['anyone', 'chance', 'check', 'apple', 'store', 'wondering', 'worth', 'trek', 'convention', 'center']",Apple,Neutral
"['ûï', 'ipad', 'store', 'sold', 'everything', 'except', '64gig', 'wifi', 'white', 'û', 'manage', 'get']",Apple,Positive
"['ûï', 'ipad', 'store', 'sold', 'everything', 'except', '64gig', 'wifi', 'white', 'û', 'also', 'known', 'white', 'jean', 'configuration']",Apple,Positive
"['offered', 'ipad', 'promo', 'ninjafinder', 'user', 'fan', 'suck']",Apple,Positive
"['austin', 'conference', 'google', 'search', 'interactive', 'music', 'film']",Google,Neutral
"['anyone', 'know', 'apple', 'selling', 'ipad', '2']",Apple,Neutral
"['anyone', 'know', 'apple', 'store', 'new', 'shipment', 'ipads', 'yet']",Apple,Neutral
"['marc', 'ecko', 'launch', 'app', 'autodial', 'political', 'change', 'link']",Apple,Neutral
"['learning', 'impact', 'ipad', 'real', 'actual', 'life', 'bravo']",Apple,Positive
"['lonelyplanet', 'austin', 'guide', 'free', 'limited', 'time', 'link']",Apple,Positive
"['free', 'mp3', 'downloads', 'time', 'itunes', 'link']",Apple,Neutral
"['anyone', 'heading', 'aclu', 'event', 'seen', 'owt', 'google', 'circle']",Google,Neutral
"['prompt', 'memory', 'go', 'google', 'map', 'describe', 'childhood', 'walk']",Google,Neutral
"['apple', 'store', 'still', 'ipad', '2', 'short', 'line']",Apple,Positive
"['essential', 'tool', 'link']",Apple,Neutral
"['left', 'tradeshow', 'demo', 'google', 'theatre', 'ok', 'get', 'see', 'presenter', 'using']",Google,Positive
"['following', 'tweet', 'google', 'realtime', 'four', 'platform', 'tweet', 'deck', 'listening', 'panel', 'realizing', 'spoken', 'one', 'today']",Google,Neutral
"['anyone', 'want', 'ipad', '2', 'line', 'pick', 'one', 'someone', 'willing', 'pay', '50', 'grab', '1']",Apple,Neutral
"['anyone', 'want', 'make', 'quick', 'hundred', 'dollar', 'new', 'ad', 'hoc', 'apple', 'store', 'get', 'hundred', 'plus', 'cost']",Apple,Positive
"['solving', 'crisis', 'apple', 'store', 'crisis']",Apple,Neutral
"['monday', 'barry', 'diller', 'new', 'york', 'time', 'congress', 'lunch', 'w', 'hotel', 'party', 'google', 'party', 'six', 'dirty', 'martini', 'monday']",Google,Positive
"['attending', 'austin', 'guide', 'free', 'download', 'itunes', 'link']",Apple,Neutral
"['seriously', 'testing', 'mobile', 'apps', 'constant', 'ipad', 'crash', 'causing', 'lost', 'schedule', 'sync', 'wp7']",Apple,Negative
"['ready', 'iphone', 'apps', '2', 'make', 'ur', 'blogging', 'easier', 'link']",Apple,Positive
"['ipad', '2', 'conflagration', 'doofusness', 'link']",Apple,Negative
"['attention', 'link', 'rumored', 'temporary', 'apple', 'store', 'ipad', '2', 'launch', 'need']",Apple,Positive
"['went', 'lousy', 'link']",Apple,Positive
"['hey', 'folk', 'want', 'learn', 'security', 'come', 'link']",Apple,Neutral
"['attending', 'work', 'iphone', 'ipad', 'game', 'development', 'looking', 'hire', 'io', 'developer', 'man', 'talk']",Apple,Neutral
"['picture', 'link']",Google,Positive
"['gsd', 'google', 'rt', 'best', 'party', 'hit', 'tonight']",Google,Neutral
"['gsd', 'google', 'industry', 'party', 'great', 'meet', 'link']",Google,Neutral
"['spent', 'come', 'sxsw', 'already', 'used', 'ipad', '1', 'wait', 'couple', 'city', 'block', 'link']",Apple,Negative
"['day', '1', 'marissa', 'mayer', 'google', 'connect', 'digital', 'physical', 'world', 'mobile', 'link']",Google,Neutral
"['behind', '100', 'email', 'give', '1', 'line', 'iphone', 'composed', 'reply']",Apple,Positive
"['like', '10pm', 'night', 'line', 'around', 'block', 'popup', 'apple', 'store', 'selling', 'ipad', '2']",Apple,Positive
"['1154', 'free', 'song', 'year', 'alone', 'link']",Apple,Neutral
"['150', 'million', 'mobile', 'user', 'google', 'map', 'mobile']",Google,Neutral
"['currently', '150', 'people', 'line', 'pop', 'apple', 'store']",Apple,Neutral
"['ipad', '2', 'available', '64gb', 'model', '699', 'plus', 'optional', 'leather', 'smart', 'cover', '69']",Apple,Neutral
"['¼', 'love', '2', 'entertain', 'ûªt', 'grateful', 'link']",Apple,Neutral
"['le', '2', 'hour', 'announce', 'detail', 'ipad', '2', 'giveaway']",Apple,Neutral
"['2', 'ipad', '2', 'seen', 'wild', 'people', 'say', 'fast', 'still', 'pic', 'terrible']",Apple,Negative
"['ipad', '2', 'queue', 'course']",Apple,Neutral
"['2', 'take', 'video', 'link']",Apple,Positive
"['many', 'ipad', '2', 'snapping', 'away', 'keynote', 'slide']",Apple,Positive
"['apple', '200m', 'user', 'credit', 'card', 'itunes', 'one', 'click', 'purchase']",Apple,Neutral
"['2nd', 'cocktail', 'texas', 'snowflake', 'google']",Google,Neutral
"['new', 'post', '3', 'iphone', 'apps', 'using', 'south', 'southwest', 'interactive', 'link']",Apple,Positive
"['new', 'post', '3', 'iphone', 'apps', 'using', 'south', 'southwest', 'interactive', 'link']",Apple,Neutral
"['sweet', 'new', '3', 'google', 'map', 'demo', 'going', 'ballroom']",Google,Positive
"['35', 'million', 'mile', 'per', 'day', 'driving', 'google', 'map', 'navigation']",Google,Positive
"['rt', '4', 'p', 'line', 'apple', 'store', 'longer', 'wider', 'ûò', '250', 'people', 'one', 'hour']",Apple,Neutral
"['u', 'smart', '4', 'packing', 'extra', 'rt', 'way', 'sunny', 'austin', 'extra', 'iphone', 'stow', 'case']",Apple,Neutral
"['wonder', '4sqwill', 'attempt', 'block', 'gowalla', 'way', 'facebook', 'blocked', 'contact', 'connection']",Google,Neutral
"['day', '5', 'store', 'still', 'line', 'growing', 'link']",Apple,Positive
"['check', '5', 'step', 'bulletproof', 'ux', 'strategy', 'sxsw', 'link', 'link']",Apple,Neutral
"['wandering', '6th', 'street', 'girl', 'stopped', 'ceviche', 'mojitos', 'apple', 'juice', 'ice', 'cream']",Apple,Neutral
"['band', 'want', 'share', 'track', 'audience', 'stage', 'use', 'frostwire', 'android', 'available']",Google,Positive
"['got', 'busy', 'week', 'ahead', 'new', 'book', 'apps', 'available', 'amazon', 'attending']",Google,Neutral
"['believe', 'went', 'aussie', 'rt', 'ipad', '2', 'sold', '70', 'went', 'new', 'buyer', 'report', 'link']",Apple,Neutral
"['ûï', 'google', 'spreadsheet', '270', 'party', 'year', 'link', 'plan', 'going', 'party']",Google,Neutral
"['guy', 'line', 'store', 'sixth', 'street', 'austin', 'guy', 'told']",Apple,Neutral
"['u', 'iphone', 'need', 'zimride', 'etc', 'share', 'ride']",Apple,Positive
"['seen', 'lot', 'tablet', 'every', 'single', 'one', 'ipad']",Apple,Neutral
"['receiving', 'lot', 'message', 'telling', 'sexy', 'response', 'post', 'looking', 'meet', 'fellow', 'christian', 'iphone', 'devs']",Apple,Neutral
"['picked', 'mophie', 'battery', 'case', '4', 'iphone', 'prep', 'lugging', 'around', 'laptop', 'using', 'phone', 'huge', 'win', 'last', 'year']",Apple,Positive
"['thats', 'news', 'rt', 'google', 'launch', 'major', 'new', 'social', 'network', 'called', 'circle', 'possibly', 'today', 'link']",Google,Neutral
"['took', 'piss', 'trade', 'show', 'ipad', 'one', 'hand', 'iphone', 'pissing', 'kiiilling', 'right']",Apple,Neutral
"['rumor', 'monger', 'good', 'read', 'preview', 'link', 'via']",Google,Positive
"['hobo', 'shotgun', 'iphone', 'game', 'link']",Apple,Neutral
"['hobo', 'shotgun', 'video', 'game', 'coming', 'ipad', 'iphone', 'user', 'yes', 'please', 'link']",Apple,Positive
"['build', 'store', 'le', '24', 'hour', 'one', 'biggest', 'launch', 'history', 'got']",Apple,Positive
"['took', 'survey', 'iphone', 'starbucks', 'line', 'got', 'free', 'starbucks', 'gift', 'card', 'instant', 'research', 'instant', 'gratification']",Apple,Neutral
"['apple', 'temporary', 'retail', 'store', 'austin', 'ipad', '2', 'release', 'today', 'open', '5pm']",Apple,Neutral
"['read', 'sound', 'like', 'incredible', 'app', 'available', 'android', 'phone', 'yet']",Apple,Positive
"['wondering', 'circle', 'google', 'reveal', 'new', 'social', 'network', 'link']",Google,Neutral
"['google', 'search', 'local', 'marissa', 'mayer']",Google,Neutral
"['wondering', 'street', 'closure', 'sxsw', 'made', 'google', 'map', 'show', 'link']",Google,Neutral
"['google', 'another', 'go', 'social', 'google', 'circle']",Google,Neutral
"['question', 'inside', 'ipad', '2', 'fire', 'way']",Apple,Neutral
"['paraormal', 'activity', 'sanctuary', 'iphone', 'game', 'sketching', 'ar', 'experience', 'interactivity', 'magic', 'lense']",Apple,Neutral
"['apple', 'iie', 'ad', '85', 'si', 'swimsuit', 'issue', 'garage', 'sale', 'link']",Apple,Neutral
"['flipboard', 'add', 'instagram', 'photo', 'social', 'search', 'apps', 'link']",Apple,Neutral
"['spent', 'aftrnoon', 'frozen', 'lake', 'photographing', 'brother', 'scott', 'team', 'catch', 'th', 'weeknd', 'link']",Apple,Neutral
"['iphone', 'alarm', 'botch', 'timechange', 'many', 'freak', 'late', 'flight', 'missed', 'panel', 'behind', 'bloody', 'mary']",Apple,Negative
"['shout', 'lady', 'holding', 'ipad', '2', 'free', 'show', 'take', 'photo', 'sipping', 'free', 'beer', 'cc']",Apple,Positive
"['dj', 'hoodie', 'allen', 'due', 'respect', 'probably', 'make', 'way', 'back', 'google']",Google,Neutral
"['meant', 'also', 'wish', 'stupid', 'iphone']",Apple,Negative
"['america', 'need', 'rt', 'google', 'launch', 'major', 'new', 'social', 'network', 'called', 'circle', 'possibly', 'today', 'link']",Google,Neutral
"['audioboo', 'american', 'dream', 'bust', 'link']",Apple,Neutral
"['skifta', 'medium', 'shifting', 'service', 'turn', 'android', 'phone', 'link']",Google,Neutral
"['rumor', 'apple', 'store', 'opening', '6th', 'congress', 'sign', 'point', 'yes', 'link']",Apple,Positive
"['apple', 'security', 'guy', 'lock', 'store', 'link']",Apple,Neutral
"['apple', 'security', 'guy', 'lock', 'store', 'realtime', 'sxsw', 'link', 'curated']",Apple,Neutral
"['got', 'ipad', '2', 'link', 'cc']",Apple,Neutral
"['picked', 'ipad', '2', 'pop', 'apple', 'store', '15', 'minute', 'wait']",Apple,Positive
"['brilliant', 'enlightening', 'game', 'mechanic', 'presentation', 'google']",Google,Positive
"['gsd', 'google', 'sitting', 'tree', 'link']",Google,Neutral
"['pic', 'winning', 'ipad', 'cc', 'link', 'cont', 'link']",Apple,Neutral
"['iphone', 'thirsty', 'chevy', 'volt', 'lounge', 'w', '16', 'others', 'link']",Apple,Neutral
"['iphone', 'thirsty', 'chevy', 'volt', 'lounge', 'w', '16', 'others', 'link', 'link']",Apple,Neutral
"['came', 'left', 'iphone', 'playing', 'song', 'chosen', 'random', 'listening', 'record', 'wall', 'appropriate']",Apple,Neutral
"['marketing', 'sale', 'genius', 'link']",Apple,Positive
"['arduino', 'android', 'flaming', 'skull', 'link', 'refrigerator', 'speaks', 'salon', 'k', 'pm']",Google,Neutral
"['reminder', 'android', 'chrome', 'tt', 'talk', '1', 'pm', 'today', 'link']",Google,Neutral
"['ipad', '2', 'v', 'android', 'v', 'world', 'panel', 'today', 'pm', 'link']",Google,Neutral
"['backupify', 'announces', 'cloudsight', 'search', 'first', 'searchable', 'archive', 'solution', 'social', 'medium', 'google', 'apps', 'link']",Google,Neutral
"['google', 'announcing', 'social', 'network', 'circle', 'via', 'tweet', 'interesting', 'myopia', 'cause', 'buzz', 'joke', 'interesting']",Google,Neutral
"['need', 'ipad', 'iphone', 'laptop', 'dictaphone', 'wow', 'love', 'meet', 'real', 'cerebellum', 'charged', 'people']",Apple,Positive
"['u', 'see', 'anything', 'circle']",Google,Neutral
"['app', 'iphone', 'ridiculous', 'personal', 'planner', 'next', '5', 'day']",Apple,Positive
"['app', 'huge', 'prop', 'get', 'link']",Google,Neutral
"['found', 'app', 'kyping', 'geolocation', 'releasing', 'background', 'need', 'patch']",Apple,Negative
"['app', 'iphone', 'live', 'rsvp', 'event', 'phone', 'check']",Apple,Positive
"['iphone', 'app', 'screen', 'missing', 'link']",Apple,Neutral
"['love', 'app', 'awesome', 'rt', 'must', 'see', 'app', 'bizzy', 'link']",Google,Positive
"['apple', 'store', 'nut', 'still', 'packed', 'link']",Apple,Neutral
"['say', 'apple', 'popup', 'store', 'austin', 'link']",Apple,Neutral
"['breaking', 'apple', 'announces', 'partnership', 'w', 'porn', 'industry', 'new', 'video', 'chat', 'app', 'called']",Apple,Neutral
"['course', 'apple', 'built', 'temp', 'store', 'austin', 'texas', 'understand', 'concept', 'corralling', 'cattle']",Apple,Negative
"['love', 'apple', 'let', 'something', 'like', 'retail', 'store', 'near', 'keep', 'away', 'opening', 'store', 'link']",Apple,Positive
"['surprise', 'apple', 'opened', 'store', 'austin', 'nerd', 'town', 'get', 'new', 'link']",Apple,Positive
